Participant,Version,Task Start,Task End,Task Length,Task Length Decimal,Task Completed
100,Keys,00:46,01:58,01:12,1.2,TRUE
100,Speech,00:30,04:42,04:12,4.2,TRUE
101,Keys,00:49,02:35,01:46,1.77,TRUE
101,Speech,00:30,07:15,06:45,6.75,FALSE
102,Keys,00:54,03:14,02:20,2.33,TRUE
102,Speech,01:05,06:27,05:22,5.37,FALSE
103,Keys,00:15,01:34,01:19,1.32,TRUE
103,Speech,00:06,08:50,08:44,8.73,FALSE
104,Keys,00:10,03:26,03:16,3.27,TRUE
104,Speech,02:48,06:57,04:09,4.15,TRUE
105,Keys,00:19,01:40,01:21,1.35,TRUE
105,Speech,01:52,08:03,06:11,6.18,FALSE
106,Keys,00:34,02:47,02:13,2.22,TRUE
106,Speech,00:20,03:12,02:52,2.87,TRUE
107,Keys,00:08,05:53,05:45,5.75,FALSE
107,Speech,00:03,05:34,05:31,5.52,TRUE
108,Keys,00:33,04:16,03:43,3.72,TRUE
108,Speech,01:09,09:53,08:44,8.73,TRUE
