,ID,version,timelog,task,response
0,100,keys,0.757984161,color,red
1,100,keys,0.724155903,object,ornament
2,100,keys,0.710388899,object,ornament
3,100,keys,0.728704214,object,ornament
4,100,keys,0.732443094,object,knife
5,100,keys,0.728322744,object,knife
6,100,keys,0.737355947,object,knife
7,100,keys,0.717733145,color,red
8,100,keys,0.727458715,object,ornament
9,100,keys,0.755462885,object,ornament
10,100,keys,0.748358727,object,box
11,100,keys,0.737849236,object,candle
12,100,keys,0.703133106,color,pink
13,100,keys,0.688760042,color,pink
14,100,keys,0.70244503,object,knife
15,100,keys,0.728697777,object,knife
16,100,keys,0.750870943,color,pink
17,100,keys,0.725150347,color,pink
18,100,keys,0.697520018,object,candle
19,100,keys,0.700232983,color,red
0,100,speech,0.820430994,object,ball
1,100,speech,0.718283892,color,green
2,100,speech,0.709277868,object,tongs
3,100,speech,0.690824032,object,
4,100,speech,0.707432032,object,
5,100,speech,0.699455976,object,pencil case
6,100,speech,0.721954823,object,tablet
7,100,speech,0.72797513,color,indigo
8,100,speech,0.738096952,object,tablet
9,100,speech,0.747678041,color,white
10,100,speech,0.744550943,object,soap
11,100,speech,0.713723898,object,tongs
12,100,speech,0.713721752,object,pen
13,100,speech,0.738705873,object,ball
14,100,speech,0.733341932,color,orange
0,101,speech,0.822816849,object,tablet
1,101,speech,0.782821894,color,indigo
2,101,speech,0.75959301,object,tongs
3,101,speech,0.7063241,object,
4,101,speech,0.718255758,object,
5,101,speech,0.792345047,object,soap
6,101,speech,0.738343954,object,pencil case
7,101,speech,0.774213076,object,
8,101,speech,0.729440689,object,ball
9,101,speech,0.745813131,color,orange
10,101,speech,0.731482029,object,pen
11,101,speech,0.701044083,object,ball
12,101,speech,0.761034012,color,green
13,101,speech,0.731736898,object,
14,101,speech,0.753837109,object,
15,101,speech,0.819443941,object,
16,101,speech,0.70627284,object,
17,101,speech,0.73395896,object,
18,101,speech,0.749066114,object,pen
19,101,speech,0.702121258,object,calculator
0,101,keys,0.88164115,object,candle
1,101,keys,0.725052834,object,candle
2,101,keys,0.737969875,object,candle
3,101,keys,0.752746105,object,candle
4,101,keys,0.711158991,object,candle
5,101,keys,0.716589212,object,candle
6,101,keys,0.690163136,object,candle
7,101,keys,0.711382151,object,candle
8,101,keys,0.716725111,color,pink
9,101,keys,0.706850052,color,pink
10,101,keys,0.716150761,color,pink
11,101,keys,0.708008051,color,pink
12,101,keys,0.726216078,color,pink
13,101,keys,0.70274806,color,
14,101,keys,0.761988878,object,candle
15,101,keys,0.727408886,object,candle
16,101,keys,0.72399807,object,candle
17,101,keys,0.735998869,object,candle
18,101,keys,0.747441053,object,candle
19,101,keys,0.707481146,object,candle
20,101,keys,0.732175112,object,candle
21,101,keys,0.766401052,object,candle
22,101,keys,0.738731861,object,candle
23,101,keys,0.725220919,object,candle
24,101,keys,0.752228975,object,candle
25,101,keys,0.7670362,object,candle
26,101,keys,0.735020161,object,candle
27,101,keys,0.723472834,object,candle
28,101,keys,0.737294674,color,red
29,101,keys,0.702883005,color,red
30,101,keys,0.750170231,color,red
31,101,keys,0.729254007,color,red
32,101,keys,0.708919048,color,red
33,101,keys,0.726624012,color,red
34,101,keys,0.704540014,color,red
35,101,keys,0.728202105,object,cell phone
36,101,keys,0.727381945,object,cell phone
37,101,keys,0.711980104,object,cell phone
38,101,keys,0.724926949,object,cell phone
39,101,keys,0.716642141,object,cell phone
40,101,keys,0.70092082,object,cell phone
41,101,keys,0.710234165,object,cell phone
42,101,keys,0.706889153,object,ornament
43,101,keys,0.729811907,object,ornament
44,101,keys,0.709209204,object,ornament
45,101,keys,0.733402252,object,ornament
46,101,keys,0.732566833,object,ornament
47,101,keys,0.724493027,object,ornament
48,101,keys,0.738456011,object,ornament
49,101,keys,0.707418919,object,ornament
50,101,keys,0.700717211,object,ornament
51,101,keys,0.7175982,object,ornament
52,101,keys,0.712267876,object,ornament
53,101,keys,0.755889893,object,ornament
54,101,keys,0.734544992,object,ornament
55,101,keys,0.747081995,object,knife
56,101,keys,0.736248016,object,knife
57,101,keys,0.727285147,object,
58,101,keys,0.718612909,object,
59,101,keys,0.726062775,object,
60,101,keys,0.75559783,object,
61,101,keys,0.735476971,object,
62,101,keys,0.730856895,object,
63,101,keys,0.733541965,object,
64,101,keys,0.712012053,object,
65,101,keys,0.727283955,object,
66,101,keys,0.715745211,object,
67,101,keys,0.714497089,object,
68,101,keys,0.71078968,object,
69,101,keys,0.734406233,object,
70,101,keys,0.740368128,object,
71,101,keys,0.730238914,object,
72,101,keys,0.748805285,object,
73,101,keys,0.732872009,object,
74,101,keys,0.733138084,object,
75,101,keys,0.726966143,object,
76,101,keys,0.736295938,object,
77,101,keys,0.730231047,object,
78,101,keys,0.74357295,object,
79,101,keys,0.74319911,object,
80,101,keys,0.765051842,object,
81,101,keys,0.744162083,object,
82,101,keys,0.748695135,object,box
83,101,keys,0.717119932,object,box
84,101,keys,0.748940229,object,box
85,101,keys,0.75180316,object,box
86,101,keys,0.738250017,object,
87,101,keys,0.728258133,object,
88,101,keys,0.731348991,object,ornament
89,101,keys,0.721697807,object,ornament
90,101,keys,0.718638182,object,ornament
91,101,keys,0.714102983,object,ornament
92,101,keys,0.707509041,object,ornament
93,101,keys,0.71979022,object,knife
94,101,keys,0.745991945,object,knife
95,101,keys,0.744053125,object,knife
96,101,keys,0.729299068,object,knife
97,101,keys,0.668296099,color,red
98,101,keys,0.595491171,color,red
99,101,keys,0.616876125,color,red
100,101,keys,0.637125969,color,red
101,101,keys,0.702534914,color,red
