,ID,version,timelog,task,response
0,100,keys,0.757984161,color,red
1,100,keys,0.724155903,object,ornament
4,100,keys,0.732443094,object,knife
7,100,keys,0.717733145,color,red
8,100,keys,0.727458715,object,ornament
10,100,keys,0.748358727,object,box
11,100,keys,0.737849236,object,candle
12,100,keys,0.703133106,color,pink
14,100,keys,0.70244503,object,knife
16,100,keys,0.750870943,color,pink
18,100,keys,0.697520018,object,candle
19,100,keys,0.700232983,color,red
,100,speech,,,error_speech
0,100,speech,0.820430994,object,ball
0,100,speech,,,error_objcolor
,100,speech,,,error_objcolor
1,100,speech,0.718283892,color,green
2,100,speech,0.709277868,object,tongs
3,100,speech,0.690824032,object,error_object
4,100,speech,0.707432032,object,error_object
,100,speech,,,error_speech
5,100,speech,0.699455976,object,error_object
6,100,speech,0.721954823,object,tablet
,100,speech,,,error_speech
,100,speech,,,error_speech
,100,speech,,,error_speech
,100,speech,,,error_speech
7,100,speech,0.72797513,color,indigo
,100,speech,,,error_object
,100,speech,,,error_gesture
8,100,speech,0.738096952,object,tablet
9,100,speech,0.747678041,color,white
,100,speech,,,error_object
,100,speech,,,error_object
10,100,speech,0.744550943,object,soap
11,100,speech,0.713723898,object,tongs
12,100,speech,0.713721752,object,pen
13,100,speech,0.738705873,object,ball
,100,speech,,,error_speech
,100,speech,,,error_speech
,100,speech,,,error_speech
14,100,speech,0.733341932,color,orange
0,101,speech,0.822816849,object,tablet
,101,speech,,,error_speech
1,101,speech,0.782821894,color,indigo
,101,speech,,,error_object
,101,speech,,,error_gesture
2,101,speech,0.75959301,object,tongs
3,101,speech,0.7063241,object,error_object
4,101,speech,0.718255758,object,error_object
5,101,speech,0.792345047,object,soap
6,101,speech,0.738343954,object,error_object
7,101,speech,0.774213076,object,error_object
,101,speech,,,error_object
8,101,speech,0.729440689,object,ball
,101,speech,,,error_speech
,101,speech,,,error_speech
9,101,speech,0.745813131,color,orange
10,101,speech,0.731482029,object,pen
11,101,speech,0.701044083,object,ball
12,101,speech,0.761034012,color,green
13,101,speech,0.731736898,object,error_object
14,101,speech,0.753837109,object,error_object
15,101,speech,0.819443941,object,error_object
16,101,speech,0.70627284,object,error_object
17,101,speech,0.73395896,object,error_object
18,101,speech,0.749066114,object,pen
19,101,speech,0.702121258,object,calculator
0,101,keys,0.88164115,object,candle
8,101,keys,0.716725111,color,pink
13,101,keys,0.70274806,color,error_object
14,101,keys,0.761988878,object,candle
28,101,keys,0.737294674,color,red
35,101,keys,0.728202105,object,cell phone
42,101,keys,0.706889153,object,ornament
,101,keys,,,error_object
,101,keys,,,error_object
,101,keys,,,error_gesture
55,101,keys,0.747081995,object,knife
82,101,keys,0.748695135,object,box
86,101,keys,0.738250017,object,error_object
87,101,keys,0.728258133,object,error_object
88,101,keys,0.731348991,object,ornament
97,101,keys,0.668296099,color,red
103,101,keys,0.724675179,object,knife
110,101,keys,0.599287033,color,pink
0,102,keys,0.630315781,color,red
3,102,keys,0.579021931,object,candle
5,102,keys,0.593362093,color,pink
6,102,keys,0.586654902,object,knife
8,102,keys,0.577297926,color,red
9,102,keys,0.588491917,object,ornament
10,102,keys,0.579252005,color,pink
11,102,keys,0.582537174,object,candle
12,102,keys,0.581262827,color,error_object
,102,keys,,,error_gesture
13,102,keys,0.552497864,color,white
14,102,keys,0.583039999,color,error_object
15,102,keys,0.571182728,color,white
16,102,keys,0.589270115,color,red
17,102,keys,0.579649925,object,knife
0,102,speech,0.634954214,object,soap
,102,speech,,,error_object
,102,speech,,,error_object
1,102,speech,0.546489,object,error_object
,102,speech,,,error_speech
2,102,speech,0.553203106,object,tongs
3,102,speech,0.545747757,object,error_object
4,102,speech,0.575998068,object,error_object
,102,speech,,,error_gesture
5,102,speech,0.554775953,object,ball
,102,speech,,,error_speech
6,102,speech,0.543941975,color,orange
7,102,speech,0.548465014,object,ball
,102,speech,,,error_objcolor
,102,speech,,,error_objcolor
8,102,speech,0.547860146,color,green
9,102,speech,0.558159828,object,pen
11,102,speech,0.571465254,object,error_object
12,102,speech,0.547938108,object,calculator
13,102,speech,0.557692289,color,error_objcolor
14,102,speech,0.551546097,color,error_speech
,102,speech,,,error_objcolor
15,102,speech,0.579374075,color,indigo
0,103,speech,0.594496012,object,error_object
1,103,speech,0.551346064,object,ball
,103,speech,,,error_gesture
2,103,speech,0.559653044,color,green
,103,speech,,,error_object
3,103,speech,0.554881096,object,tongs
4,103,speech,0.550961971,object,error_objcolor
,103,speech,,,error_object
,103,speech,,,error_object
,103,speech,,,error_object
5,103,speech,0.551045895,object,calculator
,103,speech,,,error_object
,103,speech,,,error_object
,103,speech,,,error_object
,103,speech,,,error_speech
6,103,speech,0.550034761,object,error_object
7,103,speech,0.546272993,object,error_object
8,103,speech,0.55056715,object,soap
9,103,speech,0.56737113,object,pen
10,103,speech,0.561863899,object,tablet
,103,speech,,,error_speech
,103,speech,,,error_speech
,103,speech,,,error_speech
11,103,speech,0.569816828,color,indigo
,103,speech,,,error_objcolor
12,103,speech,0.544989824,object,error_object
13,103,speech,0.54061389,object,ball
,103,speech,,,error_speech
,103,speech,,,error_speech
,103,speech,,,error_speech
,103,speech,,,error_speech
14,103,speech,0.550276041,color,orange
15,103,speech,0.561655045,object,error_object
0,103,keys,0.74314332,color,pink
1,103,keys,0.616653204,object,ornament
2,103,keys,0.601627827,object,knife
3,103,keys,0.579749107,color,red
4,103,keys,0.574884892,object,ornament
5,103,keys,0.598503828,object,candle
6,103,keys,0.574808836,color,pink
7,103,keys,0.584725857,object,knife
8,103,keys,0.559409857,color,pink
